DATE,Average_Earning,GDP,Mortgage,Population,Unemployment_Rate,CSUSHPISA
01-01-1987,328,4722.156,9.204,230527,7.6,63.965
01-02-1987,328,4764.158,,,7.6,64.424
01-03-1987,238,4764.158,,,7.8,64.736
01-04-1987,328,4806.16,9.8325,230732,7.9,65.132
01-05-1987,329,4,,,8.1,65.563
01-06-1987,329,,,,8.2,66.071
01-07-1987,330,4884.555,10.278,230906,8.3,66.507
01-08-1987,331,5007.994,,,8.3,66.938
01-09-1987,330,3298.849667,,,8.4,67.33
01-10-1987,328,5007.994,11.26,231073,8.5,67.739
01-11-1987,328,,,,8.5,68.107
01-12-1987,328,,,,8.5,68.506
01-01-1988,329,5073.372,10.3825,231235,8.6,68.858
01-02-1988,326,,,,8.7,69.263
01-03-1988,326,,,,8.8,69.64
01-04-1988,325,5190.036,10.202,231392,8.9,69.977
01-05-1988,325,,,,8.9,70.426
01-06-1988,325,,,,8.9,70.889
01-07-1988,325,5282.835,10.432,231558,9,71.354
01-08-1988,324,,,,9.1,71.799
01-09-1988,324,,,,9.2,72.24
01-10-1988,324,5399.509,10.3025,231727,9.3,72.635
01-11-1988,323,,,,9.3,73.071
01-12-1988,323,,,,9.3,73.466
01-01-1989,323,5511.253,10.73,231901,9.4,73.946
01-02-1989,322,,,,9.4,74.382
01-03-1989,322,,,,9.5,74.778
01-04-1989,322,5612.463,11.05,232090,9.6,75.086
01-05-1989,321,,,,9.7,75.306
01-06-1989,321,,,,9.7,75.479
01-07-1989,322,5695.365,9.8825,232290,9.8,75.657
01-08-1989,322,,,,9.8,75.835
01-09-1989,322,,,,9.8,76.056
01-10-1989,322,5747.237,9.9475,232496,9.8,76.283
01-11-1989,320,,,,9.9,76.52
01-12-1989,320,,,,10,76.705
01-01-1990,319,5872.701,9.895,232708,10.1,76.897
01-02-1990,319,,,,10.2,77.053
01-03-1990,319,,,,10.3,77.201
01-04-1990,319,5960.028,10.37,232905,10.4,77.279
01-05-1990,315,,,,10.5,77.297
01-06-1990,315,,,,10.6,77.259
01-07-1990,313,6015.116,10.035,233077,10.8,77.139
01-08-1990,312,,,,10.8,77.009
01-09-1990,312,,,,10.8,76.85
01-10-1990,312,6004.733,10.1775,233241,10.8,76.699
01-11-1990,316,,,,10.6,76.369
01-12-1990,315,,,,10.5,76.185
01-01-1991,316,6035.178,9.6375,233398,10.4,75.915
01-02-1991,312,,,,10.4,75.734
01-03-1991,312,,,,10.4,75.569
01-04-1991,312,6126.862,9.4925,233543,10.4,75.565
01-05-1991,312,,,,10.4,75.764
01-06-1991,312,,,,10.4,75.993
01-07-1991,312,6205.937,9.575,233697,10.3,76.082
01-08-1991,313,,,,10.3,76.109
01-09-1991,313,,,,10.3,76.193
01-10-1991,313,6264.54,8.855,233852,10.2,76.074
01-11-1991,315,,,,10.2,76.012
01-12-1991,315,,,,10.2,76.056
01-01-1992,315,6363.102,8.432,234020,10.1,76.087
01-02-1992,313,,,,10.1,76.156
01-03-1992,313,,,,10.1,76.278
01-04-1992,313,6470.763,8.8525,234213,10.1,76.347
01-05-1992,314,,,,10,76.399
01-06-1992,314,,,,9.3,76.332
01-07-1992,314,6566.641,8.128,234404,9.4,76.264
01-08-1992,312,,,,9.4,76.231
01-09-1992,312,,,,9.4,76.239
01-10-1992,312,6680.803,8.088,234601,9.5,76.377
01-11-1992,315,,,,9.4,76.558
01-12-1992,315,,,,9.3,76.674
01-01-1993,315,6729.459,7.9925,234804,9.2,76.784
01-02-1993,317,,,,9.1,76.837
01-03-1993,317,,,,9,76.867
01-04-1993,317,6808.939,7.472,234993,8.8,76.936
01-05-1993,318,,,,8.7,77.037
01-06-1993,318,,,,8.6,77.243
01-07-1993,319,6882.098,7.206,235157,8.5,77.429
